Curriculum,LNTS - Natural Sciences (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,40.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
11,GEL 109L Sediments and Strata Lab,GEL,109L,30,10,"",2,,,0,0.3071875,0.16156250000000003,32,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""F"", ""I""]"
12,BIS 101 Genes & Gene Expression,BIS,101,16;17;4;24,"","",4,,,0,-0.3035435931307794,-0.31077939233817703,3028,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""D-^"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
13,CHE 002A General Chemistry,CHE,002A,"","","",5,,,0,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
14,CHE 002B General Chemistry,CHE,002B,13,"","",5,,,0,-0.6409072741806555,-0.7018205435651479,5004,202201,200101,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""Y"", ""C"", ""P*"", ""NC"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A"", ""D+^""]"
15,CHE 002C General Chemistry,CHE,002C,14,"","",5,,,0,-0.6246739926739927,-0.689871794871795,2730,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
16,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,0,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
17,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,0,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
18,BIS 002C Introduction to Biology,BIS,002C,17,"","",5,,,0,-0.2832742802910471,-0.28760202467573553,3161,202201,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
19,GEL 002 Earth System Science,GEL,002,"","","",3,,,0,0.7347887323943663,0.4543661971830987,71,202107,200303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""NP*"", ""P*""]"
20,GEL 003 History Of Life,GEL,003,"","","",3,,,0,0.43172413793103454,0.19735632183908047,87,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*"", ""Y""]"
21,GEL 060 Earth Materials Intro,GEL,060,13;14;29;30;33,"","",4,,,0,-0.01862068965517246,-0.2510344827586207,29,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""P*""]"
